p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.93099562943764	0.877	0.057	0	Astrocyte	SLC1A3
0	2.0816709989914	0.651	0.059	0	Astrocyte	COL5A3
0	2.00941526796348	0.57	0.045	0	Astrocyte	CST3
0	1.98344541678344	0.564	0.038	0	Astrocyte	GLUL
0	1.83152164748485	0.511	0.022	0	Astrocyte	NHSL1
0	1.77588007203134	0.492	0.023	0	Astrocyte	NDRG2
0	1.50030456579569	0.369	0.015	0	Astrocyte	ACSS1
0	1.28853476631216	0.324	0.015	0	Astrocyte	PON2
0	1.23204931554981	0.318	0.013	0	Astrocyte	SLC7A11
0	1.19730087221762	0.282	0.011	0	Astrocyte	STON2
0	0.990242249275715	0.204	0.005	0	Astrocyte	APOE
0	0.890799973491415	0.187	0.004	0	Astrocyte	PAPLN
2.92932581084637e-257	0.875737679843606	0.162	0.004	1.93042570934776e-254	Astrocyte	MLC1
2.17558975460457e-256	1.00355726983329	0.209	0.008	1.33130553054981e-253	Astrocyte	EZR
5.5975665439251e-250	1.34362377640278	0.388	0.034	3.19695683878709e-247	Astrocyte	LRIG1
2.2158880184344e-239	1.53198256387615	0.466	0.052	1.18646954087047e-236	Astrocyte	PTGDS
3.28352958273441e-228	1.90508905109311	0.768	0.183	1.65470576089916e-225	Astrocyte	MSI2
1.45211227387885e-227	1.84899134079082	0.899	0.275	6.9112476946223e-225	Astrocyte	ZBTB20
1.59197507453208e-226	1.02420041558646	0.215	0.01	7.17813182290335e-224	Astrocyte	MT2A
1.54575895765267e-213	1.97422836602209	0.86	0.275	6.6212584951052e-211	Astrocyte	PITPNC1
6.90730704731865e-211	1.23986145458819	0.299	0.023	2.81785235592281e-208	Astrocyte	ACACB
1.14658433989513e-203	1.59899849497909	0.466	0.063	4.46490365449161e-201	Astrocyte	ARHGAP24
1.68706792103322e-201	1.65687223638261	0.592	0.106	6.28396125195286e-199	Astrocyte	MAML2
1.67114104672965e-194	1.28170067977833	0.316	0.028	5.96527722805538e-192	Astrocyte	ADGRG1
8.04793675357735e-187	0.81769720540053	0.165	0.007	2.75786696671589e-184	Astrocyte	MRVI1
8.00374547156703e-184	0.868693040139451	0.187	0.009	2.63723413288134e-181	Astrocyte	METTL7A
2.53284651002372e-175	1.51972933608933	0.69	0.172	8.03662816717526e-173	Astrocyte	NFIA
8.9313530316043e-165	1.35516903757005	0.335	0.038	2.73267505077693e-162	Astrocyte	ALDH1A1
7.49498743119523e-163	0.992007285044965	0.201	0.013	2.21412266631205e-160	Astrocyte	IGFBP7
1.22569401101438e-161	1.08591196349487	0.254	0.022	3.50017353078672e-159	Astrocyte	RAPGEF3
5.44927087709507e-156	1.22340978224166	0.344	0.042	1.50593237432495e-153	Astrocyte	SPON1
9.07118327646292e-152	1.1876401022357	0.277	0.028	2.42852584779556e-149	Astrocyte	STK33
4.3687900832803e-148	1.06409650298829	0.268	0.027	1.13416438313522e-145	Astrocyte	ITPKB
1.46739964925142e-147	1.25199343906726	0.36	0.049	3.69741552798144e-145	Astrocyte	KANK1
2.26685677496636e-143	1.44779721505696	0.936	0.633	5.54861771175337e-141	Astrocyte	MACF1
5.341064048863e-136	1.40811675364801	0.673	0.196	1.27102488073915e-133	Astrocyte	NEAT1
6.15942284717713e-133	1.56397135009224	0.81	0.378	1.38862567188859e-130	Astrocyte	TNIK
7.95416101920776e-131	1.39454797520743	0.902	0.572	1.74726403721931e-128	Astrocyte	DTNA
2.29099942140022e-128	1.38918855360128	0.447	0.09	4.90674801078392e-126	Astrocyte	ZNRF3
1.46420087659288e-124	1.31108746364207	0.81	0.347	3.05946558774908e-122	Astrocyte	QKI
2.61839761796046e-122	1.17555977936869	0.966	0.723	5.34090771263506e-120	Astrocyte	RORA
4.04614519371002e-122	1.42629617522222	0.539	0.138	8.06123857546831e-120	Astrocyte	TRPS1
3.53530010489848e-121	1.0213319107467	0.24	0.026	6.88338999969666e-119	Astrocyte	TNS3
2.12862996186415e-120	1.16893992076158	0.36	0.06	4.05243841850893e-118	Astrocyte	FGFR2
5.28660894191493e-120	0.903043577954665	0.223	0.022	9.84573452290983e-118	Astrocyte	FOXO1
2.77373138236149e-118	-1.19623748127511	0.528	0.948	5.05586313887041e-116	Astrocyte	RBFOX1
1.40474167724641e-117	1.37743349809201	0.682	0.24	2.50717123936875e-115	Astrocyte	ITPR2
1.33248588050357e-114	1.5109239702735	0.628	0.215	2.32967480372941e-112	Astrocyte	SFXN5
