p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
7.14439052709358e-139	0.611227393044513	0.347	0.048	1.56938445245156e-136	Astrocyte	CD9
2.52703788308178e-135	1.05298439272471	0.592	0.153	5.4122833860904e-133	Astrocyte	FGFR2
9.24075803553822e-134	1.12772963922076	0.559	0.14	1.93086766074283e-131	Astrocyte	SPON1
6.86946057096376e-131	0.544824519098075	0.286	0.034	1.40120639789158e-128	Astrocyte	PHGDH
1.04377032666137e-129	1.27551358107414	0.886	0.446	2.07953032290882e-127	Astrocyte	QKI
1.18600633472987e-129	1.11618189320175	0.494	0.11	2.30920824309791e-127	Astrocyte	DDIT4
5.74435329328045e-129	0.364017382604172	0.162	0.01	1.09359721474519e-126	Astrocyte	SLC9A3R1
3.84201168476077e-118	1.64550931698267	0.889	0.538	7.15532915290119e-116	Astrocyte	PITPNC1
1.54698305625437e-114	0.8307376844822	0.456	0.1	2.81978805168748e-112	Astrocyte	DOCK5
1.31859879044509e-112	0.886185447459185	0.562	0.157	2.35342413286314e-110	Astrocyte	ZHX2
1.29286051099666e-111	0.601772049828794	0.294	0.043	2.26039510157314e-109	Astrocyte	CDC14A
1.45885090726327e-110	0.539269671885244	0.296	0.044	2.49959514450489e-108	Astrocyte	TTYH2
2.89270814857783e-110	1.24429739042253	0.656	0.226	4.85918249193456e-108	Astrocyte	CLYBL
3.48735161229594e-107	0.773920844250911	0.433	0.098	5.74541178125757e-105	Astrocyte	MERTK
8.271628382824e-106	0.736344997130049	0.387	0.079	1.33703849727647e-103	Astrocyte	MFGE8
1.33275557045297e-105	0.838831006895384	0.549	0.155	2.11439203186492e-103	Astrocyte	RIN2
4.71876450791669e-105	0.875897629951774	0.365	0.071	7.35011918896769e-103	Astrocyte	ALDH1A1
8.51291224228781e-101	1.14769739455741	0.967	0.796	1.30232355677999e-98	Astrocyte	DTNA
3.06086487621861e-97	1.26853412771088	0.808	0.427	4.60042620957277e-95	Astrocyte	SFXN5
1.47100177918364e-96	0.498472162165209	0.301	0.051	2.17277107625279e-94	Astrocyte	RAPGEF3
3.41916005345623e-96	0.687109151543514	0.365	0.075	4.96473630134908e-94	Astrocyte	PDLIM5
6.78084681204894e-96	-0.833386598000438	0.709	0.986	9.68191910647054e-94	Astrocyte	RBFOX1
4.0747244018009e-94	0.89473360166113	0.542	0.171	5.72264982790628e-92	Astrocyte	MTSS1L
1.35899604084494e-93	0.575987212239388	0.261	0.04	1.87782565837396e-91	Astrocyte	PBXIP1
7.7401356811179e-92	0.625726969290136	0.367	0.079	1.05253559333551e-89	Astrocyte	TNS3
8.82802127520067e-92	0.524312294178266	0.256	0.039	1.18171341038507e-89	Astrocyte	ZFP36L1
1.12083071041433e-90	1.24795073225845	0.944	0.728	1.47725487632609e-88	Astrocyte	TNIK
2.81121936482875e-90	0.692164708637625	0.349	0.073	3.64904792401332e-88	Astrocyte	ARHGAP31
3.25717447300884e-90	1.217643443186	0.83	0.493	4.16480801645772e-88	Astrocyte	AHCYL2
3.05877808961419e-88	0.34362801224256	0.157	0.015	3.85361057260659e-86	Astrocyte	XAF1
3.6012556485348e-88	-0.687019572455443	0.759	0.993	4.47129813637647e-86	Astrocyte	ANKS1B
1.45498616418314e-87	-0.788464196938929	0.648	0.991	1.78069520979385e-85	Astrocyte	DLGAP1
7.08443458962364e-86	0.588027566241441	0.322	0.065	8.5482184689163e-84	Astrocyte	NOTCH2
3.286146582179e-85	0.740929056853819	0.484	0.144	3.91005802354548e-83	Astrocyte	GSN
4.46230653432573e-84	0.42556801349881	0.218	0.03	5.23679179172171e-82	Astrocyte	MAL
7.03553375666001e-83	0.360983898199245	0.203	0.026	8.14505644504139e-81	Astrocyte	APOE
7.31866204122789e-83	0.561339934941734	0.268	0.047	8.35986369429324e-81	Astrocyte	SMOX
7.47896889774994e-83	0.583307690036259	0.357	0.081	8.43056928250312e-81	Astrocyte	ADGRG1
6.47413877776185e-82	0.487390036296578	0.205	0.028	7.20310998819296e-80	Astrocyte	IGFBP7
1.13023455383878e-81	0.297346323253846	0.122	0.009	1.24137428496626e-79	Astrocyte	PYGM
1.34455528730635e-81	0.554743130262441	0.235	0.037	1.45807660080424e-79	Astrocyte	PLTP
2.20321512567815e-81	1.00771535921058	0.954	0.781	2.35936799771059e-79	Astrocyte	CADM1
2.89437302795736e-81	0.989183927956017	0.775	0.435	3.06124613956923e-79	Astrocyte	PHLPP1
1.14244973577427e-80	0.414223985793643	0.205	0.028	1.1935813276071e-78	Astrocyte	AASS
2.73335578372294e-80	1.0055073260454	0.737	0.368	2.82128421676559e-78	Astrocyte	TRPS1
9.68464510794432e-79	0.943935325567427	0.663	0.288	9.87718507616178e-77	Astrocyte	SERPINE2
3.98841033343533e-78	0.95998995276445	0.666	0.3	4.01984839135771e-76	Astrocyte	LINC00511
2.64991820946664e-76	0.948187941703484	0.932	0.767	2.63974991866288e-74	Astrocyte	WWOX
