p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
0	2.3771973268707	0.278	0.012	0	B	IGLL1
0	2.34497222297838	0.243	0.005	0	B	CD79B
0	2.21140239902703	0.208	0.007	0	B	CD79A
2.83813145687598e-236	1.67798360038801	0.18	0.018	5.22216188065181e-233	B	SOX4
3.01865516026838e-159	1.29856968266242	0.487	0.19	4.44346039591506e-156	B	CD74
6.71142007858327e-97	1.24045017419618	0.274	0.093	8.23267529639548e-94	B	HLA-DRA
6.84582446597989e-91	-0.465582693487526	0.993	0.996	6.2981585087015e-88	B	S100A8
1.40992986745627e-75	0.844819059687225	0.579	0.392	1.03770838244782e-72	B	PTMA
2.65117411848028e-72	1.08687170962909	0.33	0.153	1.77387650109226e-69	B	STMN1
5.70856676662674e-67	0.806007666308889	0.541	0.349	3.50125428353106e-64	B	RPL10
3.54478667268872e-66	-0.616793687814563	0.428	0.669	2.00689460853762e-63	B	S100A6
1.08892430632149e-51	0.476725746771176	0.767	0.634	5.72463063894726e-49	B	RPS27
1.02192718819399e-49	0.657626160337554	0.554	0.391	4.70086506569234e-47	B	RPS23
8.66233736665434e-49	0.642440293670088	0.562	0.406	3.75028253050447e-46	B	RPS3A
4.03220904319518e-48	0.87302756470001	0.189	0.074	1.64872547543981e-45	B	CD52
6.02687662327648e-46	0.711332253894943	0.437	0.28	2.21789059736575e-43	B	RPS16
7.0066371448566e-42	0.668566239824596	0.486	0.341	2.45565949457831e-39	B	RPL19
3.82147768868573e-41	0.949910537976121	0.127	0.044	1.27845799039668e-38	B	PRDX1
1.3771326552946e-38	-0.355716568738415	0.745	0.86	4.2232068095701e-36	B	TMSB4X
4.13944107313794e-36	0.604333965190224	0.541	0.42	1.17178024224212e-33	B	RPLP2
1.16703701542596e-35	0.55568459812115	0.548	0.42	3.18125645686485e-33	B	RPS27A
1.21955058121478e-35	0.5738502741197	0.522	0.391	3.20567581347885e-33	B	RPL15
1.65141925108903e-35	0.602647667791454	0.479	0.341	4.19118816828112e-33	B	RPS11
2.86759306055738e-35	0.921409520064204	0.127	0.047	7.03516164190078e-33	B	HLA-DPB1
3.31564458881842e-34	0.43491029376485	0.658	0.537	7.87198199151729e-32	B	RPS19
1.2171539248437e-33	0.512104221361737	0.535	0.407	2.79945402714051e-31	B	RPS29
7.41868416669761e-33	0.378490938339893	0.739	0.647	1.60592692549689e-30	B	RPL34
8.21560922918949e-33	0.566612272991672	0.482	0.353	1.72762525505242e-30	B	RPL13
3.59318352969076e-32	0.702175168114794	0.369	0.243	6.95942915224316e-30	B	RPL18
2.79881716703617e-31	0.436160504556738	0.644	0.536	5.14982358734656e-29	B	RPLP1
3.15260640775341e-31	0.547563532190766	0.498	0.371	5.65931296611344e-29	B	RPS12
6.26512366131928e-31	0.573067581508239	0.421	0.291	1.07235604993744e-28	B	RPL13A
1.16181201291753e-30	-0.318638328067765	0.745	0.86	1.94339463978933e-28	B	LYZ
1.59131474235341e-30	-0.266875342032639	0.982	0.989	2.60268366749358e-28	B	S100A9
2.35280882368284e-30	-0.530913980552343	0.313	0.476	3.76449411789255e-28	B	S100A11
2.4497035749659e-29	0.540404691474749	0.395	0.269	3.75621214828105e-27	B	RPLP0
9.04652219777464e-29	0.487686922160699	0.59	0.482	1.35882455868615e-26	B	RPL31
3.93434278063704e-28	0.546109122560409	0.452	0.334	5.79135257309773e-26	B	RPS4X
2.82367986691041e-27	0.572737126929936	0.418	0.302	4.07495761185503e-25	B	RPL3
8.38830116159683e-27	0.459287785438267	0.536	0.425	1.1872672413337e-24	B	RPL32
9.91017809787558e-27	-0.312147768775318	0.699	0.825	1.37620586415782e-24	B	FTL
8.94799797400029e-26	0.730869037313403	0.321	0.215	1.219578983123e-23	B	TUBA1B
1.25328388169253e-25	0.633815074527714	0.397	0.289	1.67712170350128e-23	B	RPS13
