p_val	avg_logFC	pct.1	pct.2	p_val_adj	cluster	gene
9.47282370582438e-25	0.550054764367955	0.429	0.322	1.20206866335978e-22	B	RPS8
1.71483867823091e-24	-0.440663702388449	0.317	0.466	2.1391885884372e-22	B	ALOX5AP
4.84306706968411e-24	0.572990037222704	0.433	0.328	5.94082893881251e-22	B	RPL28
6.47487773903835e-24	0.552314181898451	0.464	0.359	7.81231150152823e-22	B	RPS15
1.1478799669411e-23	0.470827132507325	0.433	0.319	1.36264460591718e-21	B	RPS18
1.69708221783031e-23	0.578459046751729	0.413	0.314	1.98262303543351e-21	B	RPL26
3.35753583345086e-23	0.465038050243503	0.484	0.378	3.86116620846849e-21	B	RPS3
5.55205698394544e-22	0.578908452834348	0.36	0.258	6.28663683105206e-20	B	RPS28
1.30689711098943e-21	-0.447381548804091	0.235	0.371	1.43563622938541e-19	B	TXN
4.64196287570511e-21	0.57000233859754	0.308	0.21	4.97421175421795e-19	B	RPL6
4.66332351957933e-21	-0.832320736704582	0.063	0.163	4.97421175421795e-19	B	BLVRB
9.48979653845924e-21	0.502687827195385	0.47	0.381	9.97784321758e-19	B	RPL11
2.82022928514127e-20	-0.563371348580692	0.127	0.244	2.8829010470333e-18	B	S100A4
3.6542370170578e-20	0.311984050973705	0.757	0.691	3.58602459273939e-18	B	MT-ATP6
6.01962713267895e-20	0.666586524837054	0.131	0.064	5.82953364427856e-18	B	HLA-DRB1
1.92817756353694e-19	0.440085172688213	0.446	0.355	1.81940857277331e-17	B	RPL30
3.52948906586735e-19	0.404195974408253	0.496	0.401	3.24712994059796e-17	B	RPL27A
4.91172369206497e-19	-0.383644188268058	0.263	0.393	4.46299831772817e-17	B	ANXA1
9.42392543998771e-18	-0.405496256368777	0.26	0.381	8.25715371884637e-16	B	MYL12A
1.25363419669388e-17	0.505402231724155	0.398	0.315	1.08549972796082e-15	B	RPS15A
1.36419460234339e-17	0.597237233301447	0.257	0.172	1.16749677595899e-15	B	RPS5
4.29938771148525e-17	0.454845300481311	0.385	0.295	3.63718316741741e-15	B	RPL5
7.1538985086935e-17	0.649689525792699	0.204	0.127	5.91603292404316e-15	B	HNRNPA1
1.08582126678311e-16	-0.819948641911109	0.104	0.195	8.87960502613741e-15	B	PRDX2
1.27147575664498e-16	0.590374533650466	0.294	0.208	1.01718060531598e-14	B	LAPTM5
1.58443465356331e-16	0.329420509248659	0.565	0.497	1.25391817744365e-14	B	RPS6
1.22868670240605e-15	-0.362370044706795	0.206	0.319	9.41993138511304e-14	B	FCER1G
1.3711623036126e-15	0.590983839008454	0.224	0.147	1.04038706748337e-13	B	RPL10A
1.73347923028603e-15	0.398371639662158	0.46	0.379	1.28872799342477e-13	B	RPL35A
2.23531324052109e-15	0.61046606713516	0.264	0.187	1.64519054502353e-13	B	HMGB1
4.26971335701048e-15	0.395416831290944	0.465	0.382	3.08089120662717e-13	B	MT-ND3
6.15908050738145e-15	0.504022204615555	0.308	0.226	4.35873389753149e-13	B	RPL23
8.12609980273049e-15	0.624414944379717	0.182	0.113	5.69600900458061e-13	B	RPL22
1.9921444799162e-14	-0.425092702557666	0.182	0.28	1.37029751141899e-12	B	GCA
2.99728705306569e-14	0.551455195682333	0.132	0.074	2.04259562134847e-12	B	NAP1L1
3.10605926098676e-14	0.467854530849524	0.334	0.255	2.09730240007913e-12	B	RPL9
6.31969725488787e-14	-0.270868844935003	0.358	0.47	4.19035781945718e-12	B	PFN1
9.9870325249347e-14	0.393297278707491	0.451	0.376	6.50482826402827e-12	B	RPS24
1.02901964203689e-13	0.482389927683845	0.302	0.225	6.64349523279958e-12	B	RPL36A
1.16507186565763e-13	0.314468130662056	0.474	0.397	7.45645994020881e-12	B	MT-ND1
1.35878185083313e-13	-0.357298239767387	0.3	0.399	8.62123657080328e-12	B	VIM
4.5239132818005e-13	0.397312983129793	0.381	0.302	2.75173568215303e-11	B	RPL39
5.98606254146128e-13	0.444834188512089	0.39	0.323	3.61126395943894e-11	B	H2AFZ
8.65036217614002e-13	0.357169569272746	0.444	0.368	5.17615167612931e-11	B	UBB
9.68911219813911e-13	0.269001239538509	0.697	0.651	5.72976115774307e-11	B	MT-ND4
9.73125196627559e-13	-0.35184579988254	0.208	0.302	5.72976115774307e-11	B	LST1
1.06029444366137e-12	0.490298689808654	0.263	0.19	6.14469850814776e-11	B	RPL41
1.112616918936e-12	0.482779195790534	0.292	0.218	6.397547283882e-11	B	RPL7A
1.23342808792202e-12	0.412491589744946	0.367	0.291	6.98310055931238e-11	B	RPL8
3.4832887177447e-12	0.636756584364838	0.133	0.079	1.9275943580903e-10	B	CD37
3.75022147267228e-12	0.338456163757917	0.422	0.349	2.05982313722895e-10	B	RPS17
4.457223762471e-12	0.426410496406198	0.36	0.289	2.43001236235456e-10	B	FAU
4.66203254248561e-12	-0.423549076638341	0.111	0.191	2.52298231710986e-10	B	PADI4
1.78117201069788e-11	0.426804837819122	0.324	0.253	9.23199013995523e-10	B	RPL37A
3.05744620730298e-11	-0.446519045398254	0.054	0.116	1.56269472817708e-09	B	MGST3
5.38161436523964e-11	0.57090030882702	0.203	0.143	2.69446814477304e-09	B	PPIA
5.6337069034754e-11	-0.628960717257343	0.079	0.144	2.80162721686344e-09	B	LGALS1
5.90052392434231e-11	0.30204883445659	0.517	0.453	2.91462121363486e-09	B	RPL7
6.32465872560208e-11	-0.304077166655378	0.218	0.309	3.10329921469542e-09	B	TSPO
6.84906645844092e-11	-0.413851272892593	0.094	0.165	3.3163900746135e-09	B	CARD16
1.1091435545724e-10	0.501780053339751	0.208	0.148	5.26664294300183e-09	B	EEF1B2
2.64626900287995e-10	-0.322912173044036	0.156	0.237	1.24849614494849e-08	B	ARPC5
5.66464232301077e-10	0.445768470660169	0.251	0.189	2.62212374197228e-08	B	RPS2
6.47665435055094e-10	-0.289374965917355	0.25	0.337	2.96075627453757e-08	B	TYROBP
8.52909992732324e-10	0.478458438815222	0.235	0.175	3.87494910278389e-08	B	RPS10
1.0517258051152e-09	0.324612583492164	0.409	0.345	4.71994019856579e-08	B	RPS20
1.07676197370508e-09	0.44110988250025	0.243	0.182	4.80301098573902e-08	B	MT-ND5
1.20334420064117e-09	-0.367316450572676	0.093	0.158	5.33530922693915e-08	B	EMB
1.21809399964291e-09	0.417303356201049	0.302	0.242	5.36836636968374e-08	B	RPS9
1.40349317915839e-09	-0.400591475948586	0.115	0.183	6.07629988153277e-08	B	GLRX
1.67855586357918e-09	-0.489782170167294	0.081	0.142	7.14113939649871e-08	B	CTSS
2.03410172686194e-09	-0.370477081364509	0.254	0.333	8.60401649982981e-08	B	IFITM2
2.77087577032443e-09	0.438715892662424	0.195	0.139	1.15872986759022e-07	B	RPSA
3.20881062048447e-09	-0.421206512240119	0.098	0.161	1.33428509416755e-07	B	CYBB
3.23088076430359e-09	-0.346959680604416	0.125	0.194	1.33591474299295e-07	B	CYSTM1
5.35117720870376e-09	0.315409981871786	0.415	0.355	2.16399254154174e-07	B	EEF1A1
5.3838851055256e-09	0.487613105262106	0.272	0.215	2.1653220970857e-07	B	BTF3
7.08578042356491e-09	-0.349727221013618	0.126	0.192	2.81899156310474e-07	B	LCP1
8.53081915290496e-09	0.32475272618513	0.423	0.368	3.34667498402931e-07	B	AZU1
9.71506212225454e-09	-0.367652745260029	0.054	0.105	3.76330827472597e-07	B	UROD
1.00543884169386e-08	0.373846085300613	0.32	0.262	3.87436119102976e-07	B	RPL18A
1.07333095016509e-08	0.378054847043455	0.34	0.284	4.07201845011087e-07	B	RPL37
1.23230926880948e-08	-0.469646865588919	0.065	0.118	4.65117754791679e-07	B	FOS
1.45896914972271e-08	0.448031680053957	0.144	0.097	5.47857803161179e-07	B	LDHB
3.71703945652406e-08	-0.327701507405423	0.089	0.147	1.34537432353396e-06	B	RGL4
3.72902665762131e-08	0.398095635170074	0.32	0.266	1.34537432353396e-06	B	RPS21
4.41358815819133e-08	-0.26118593836132	0.188	0.262	1.57689363321787e-06	B	AIF1
1.26187001447475e-07	0.454043594204596	0.19	0.142	4.38083174836517e-06	B	TUBB
1.40961844819077e-07	0.396479742127239	0.24	0.189	4.80314434198337e-06	B	RPL24
1.76495175408995e-07	-0.390008657306324	0.071	0.12	5.93152735621099e-06	B	RAB31
1.9490102019968e-07	0.403520199550333	0.171	0.124	6.52032503940747e-06	B	EEF1D
2.04727002342022e-07	0.435671359841159	0.287	0.236	6.78734566323098e-06	B	RPL12
2.19329375908264e-07	0.340793318149481	0.341	0.287	7.23885294477498e-06	B	UBA52
2.38848335685551e-07	0.350520257391579	0.199	0.149	7.84787388681097e-06	B	SNRPD2
2.75403446165953e-07	0.445812260097568	0.185	0.139	8.89021650781321e-06	B	DDX5
3.70184881294664e-07	0.3420122500093	0.305	0.252	1.17437962341755e-05	B	RPS25
1.4346432146005e-06	0.443548477874788	0.126	0.087	4.2576508304273e-05	B	CCNI
1.92281578637175e-06	-0.341004909574769	0.124	0.176	5.63821680784704e-05	B	CAP1
3.48565307213893e-06	-0.302311286390467	0.083	0.128	9.79175824845134e-05	B	GRN
4.96514151337195e-06	0.378322608687117	0.107	0.072	0.000134350888008888	B	MT-ND4L
5.77811156132699e-06	0.468744090278532	0.108	0.074	0.000155207668216667	B	SRSF5
6.79321332195732e-06	-0.288291185283153	0.088	0.133	0.000181152355252195	B	MSRB1
9.41114705794703e-06	0.406754089976691	0.143	0.106	0.000243894515304543	B	NPM1
1.19987947206314e-05	-0.362970837825543	0.083	0.124	0.000304521134978782	B	APMAP
1.90148445796189e-05	-0.314992997251384	0.073	0.112	0.000466497520353316	B	STOM
2.23331804187154e-05	0.352807419492127	0.208	0.168	0.000535414357920995	B	RPL29
2.70423742043296e-05	0.380061499455923	0.221	0.182	0.000639973871845227	B	RPL14
2.7665380294157e-05	0.37635291057354	0.197	0.159	0.00065053418199679	B	RPS7
4.46083207619606e-05	0.356367952891443	0.203	0.165	0.00100715482227967	B	HINT1
5.78980977480205e-05	0.374451889563489	0.137	0.103	0.00127966966794424	B	EDF1
0.000118098646645043	0.373033894075786	0.276	0.243	0.00240112165554564	B	COX7C
0.000142957584799477	-0.270391123203972	0.079	0.115	0.00282082526574839	B	SNX3
0.000186110527757194	0.368561763771751	0.108	0.079	0.00360466706392881	B	ERP29
0.000280422098464595	0.278611834233741	0.396	0.367	0.00514689936334019	B	MT-ND2
0.000299636906948926	0.33126225643299	0.124	0.095	0.00544525342010887	B	PTTG1
0.000335752491967305	0.336518459017369	0.132	0.102	0.00604190303393488	B	ATP6V1G1
0.000385642860511404	0.369537204576275	0.145	0.116	0.00681751333397366	B	RAN
0.000397256734813014	0.268247747558931	0.311	0.278	0.00696145135291376	B	NACA
0.000406093772458514	0.347838434162532	0.179	0.148	0.00708258333008214	B	HMGN1
0.0007341341201837	-0.291246887065446	0.275	0.309	0.0117974391365765	B	FTH1
0.000786645123353578	0.380520519975895	0.221	0.194	0.012531835731347	B	RPL38
0.000947190373110197	0.387626275947164	0.122	0.095	0.0145539063592715	B	EEF2
0.00113119156593471	0.332947319206241	0.111	0.086	0.0170605941091792	B	HNRNPC
0.00125615407217173	0.341276249465549	0.121	0.096	0.0184266396170385	B	DUT
0.00154626460435276	0.259013108100468	0.128	0.101	0.0215948908691391	B	DBI
0.002971421128333	0.263325124016069	0.254	0.227	0.0368176085934863	B	SRP14
0.00368179515192634	0.263504191419806	0.109	0.086	0.0439902797373017	B	HMGN2
0.00510681882813908	0.300591500913502	0.195	0.17	0.0567767168808212	B	COX6C
0.00797991123608014	0.298084368469688	0.115	0.094	0.0796908367673675	B	COX5A
0.00953011435053318	0.260876597974096	0.111	0.09	0.0905053440257087	B	ANAPC16
0	2.55010289508724	0.986	0.778	0	Erythrocyte	HBB
0	2.24403934839153	0.594	0.095	0	Erythrocyte	PRDX2
0	2.19882392876123	0.963	0.719	0	Erythrocyte	HBA2
0	2.11566623801301	0.548	0.066	0	Erythrocyte	BLVRB
0	1.90078747894289	0.327	0.032	0	Erythrocyte	SLC25A37
0	1.61071964042689	0.248	0.017	0	Erythrocyte	TFRC
0	1.59506702530602	0.251	0.019	0	Erythrocyte	HMBS
0	1.54646830648229	0.346	0.045	0	Erythrocyte	UROD
0	1.36058805056371	0.188	0.016	0	Erythrocyte	SLC25A39
0	1.35721161356935	0.322	0.05	0	Erythrocyte	GYPC
0	1.32743614911628	0.328	0.062	0	Erythrocyte	MGST3
0	1.26173395141964	0.139	0.009	0	Erythrocyte	SNCA
0	1.20468233403254	0.587	0.242	0	Erythrocyte	FTH1
0	-0.739220051481869	0.767	0.921	0	Erythrocyte	B2M
0	-0.824318105878194	0.966	0.994	0	Erythrocyte	S100A9
0	-0.885883918012764	0.689	0.889	0	Erythrocyte	LYZ
0	-1.00707024431074	0.641	0.9	0	Erythrocyte	TMSB4X
0	-1.02415700033365	0.987	0.998	0	Erythrocyte	S100A8
1.8748132031858e-296	0.931938939244865	0.463	0.167	7.2624343028671e-294	Erythrocyte	TUBA1B
1.93043247529102e-289	1.05200012178011	0.201	0.03	7.10399150907094e-287	Erythrocyte	TMEM14B
2.2977837832819e-284	1.08138704401976	0.154	0.015	8.05318506902609e-282	Erythrocyte	FBXO7
1.10465353669796e-269	0.976243734981942	0.152	0.016	3.69556819549862e-267	Erythrocyte	TMEM14C
1.15999639871733e-254	1.01122152165039	0.18	0.027	3.71198847589545e-252	Erythrocyte	CD36
1.19270151135609e-249	-0.806025237894713	0.487	0.698	3.65761796815869e-247	Erythrocyte	ACTB
3.5811370175323e-236	0.992891378326929	0.107	0.007	1.05428673796151e-233	Erythrocyte	FECH
5.26964310228834e-223	0.848137303515092	0.113	0.01	1.49171435510932e-220	Erythrocyte	REXO2
1.22292617033242e-221	0.923214842845913	0.21	0.045	3.33360615320244e-219	Erythrocyte	SOD1
3.44474501651704e-221	-1.06373140840869	0.235	0.517	9.05475832913051e-219	Erythrocyte	S100A11
1.10322123831619e-213	0.865879763043541	0.101	0.007	2.7065694380024e-211	Erythrocyte	UROS
4.71742506931287e-212	0.805522146127028	0.118	0.012	1.12000801645622e-209	Erythrocyte	BOLA3
1.04719033968074e-210	0.758986375442962	0.601	0.32	2.40853778126571e-208	Erythrocyte	UBB
5.36499707259368e-207	1.03893437212795	0.211	0.049	1.19655692285726e-204	Erythrocyte	BSG
1.51416113512003e-199	0.933495483964901	0.239	0.065	3.27771351602453e-197	Erythrocyte	PTTG1
1.57827695909147e-198	1.038341955988	0.129	0.017	3.31889097683235e-196	Erythrocyte	RAD23A
1.04783362929423e-186	-0.98098807242636	0.252	0.502	2.14223764211265e-184	Erythrocyte	ALOX5AP
1.11368021676401e-179	-0.934118853043489	0.277	0.513	2.21532064740084e-177	Erythrocyte	GMFG
5.47126179152389e-179	0.786903220040545	0.212	0.055	1.0596970206741e-176	Erythrocyte	MPC2
6.62356994966372e-179	-1.04678728813546	0.188	0.439	1.24998653409038e-176	Erythrocyte	VIM
2.584788254523e-169	0.766541904850993	0.155	0.032	4.75601038832232e-167	Erythrocyte	SYNGR1
3.14045304636555e-155	0.782786908991888	0.196	0.054	5.25312145937511e-153	Erythrocyte	CKS2
4.01969707614028e-155	-0.536021734490694	0.626	0.754	6.57443788453166e-153	Erythrocyte	MYL6
7.98539994458424e-149	0.692262229979195	0.253	0.087	1.2504796508966e-146	Erythrocyte	RAN
1.20405182528228e-146	0.714270281467653	0.292	0.111	1.77236428681552e-144	Erythrocyte	TUBB
8.91849675198608e-142	0.62941043180362	0.449	0.229	1.23849313386071e-139	Erythrocyte	RPS21
1.2540901343139e-141	-0.920474290681128	0.206	0.424	1.7092784052871e-139	Erythrocyte	ANXA1
1.71479363703744e-141	0.678778575905677	0.451	0.238	2.29470566701738e-139	Erythrocyte	RPLP0
3.54748666825142e-140	0.664255773451197	0.133	0.028	4.66241104970186e-138	Erythrocyte	METAP2
1.28403392718705e-139	0.728588765331352	0.156	0.039	1.65798064984153e-137	Erythrocyte	UCP2
2.32035119010966e-136	-1.0078844933344	0.209	0.411	2.84629745986785e-134	Erythrocyte	MYL12A
3.19195945490662e-135	0.697888582209998	0.29	0.115	3.78916477227625e-133	Erythrocyte	HSP90AA1
4.07117661955038e-135	0.708808132473638	0.101	0.016	4.75616824125251e-133	Erythrocyte	CCNB1
2.78353143468567e-134	-0.801332412701861	0.285	0.487	3.20106114988852e-132	Erythrocyte	ARHGDIB
3.69395007804482e-132	0.783866532232036	0.165	0.045	4.18268808837076e-130	Erythrocyte	ARL6IP1
5.99784561971073e-127	0.620079545412454	0.346	0.157	6.6885066304653e-125	Erythrocyte	HMGB1
1.16875786125103e-126	0.691655396842394	0.125	0.028	1.28388923265785e-124	Erythrocyte	NUSAP1
6.76696836147275e-124	0.637372846014719	0.104	0.019	7.32424810888815e-122	Erythrocyte	CCNB2
1.61731376430263e-123	0.65116608813096	0.197	0.064	1.72513468192281e-121	Erythrocyte	YBX1
1.92077803551837e-123	0.798971485410642	0.112	0.023	2.01956090591646e-121	Erythrocyte	H1F0
1.11112569916793e-121	0.657532044203865	0.322	0.145	1.1518148092783e-119	Erythrocyte	RPS5
8.48807340533167e-119	-0.743666352908113	0.292	0.481	8.44219192746501e-117	Erythrocyte	ACTG1
2.4020360012754e-116	0.674979017329396	0.188	0.062	2.32618223281407e-114	Erythrocyte	HSPE1
1.10694229196515e-113	0.576235489865651	0.174	0.054	1.00581423072389e-111	Erythrocyte	SRI
9.01333382454455e-111	0.585450737911204	0.131	0.034	7.89739725579141e-109	Erythrocyte	RANBP1
3.45363756374997e-109	0.621985324503418	0.158	0.047	2.99044381990586e-107	Erythrocyte	RPA3
8.90599809729477e-109	0.654731996932718	0.11	0.025	7.62187744140575e-107	Erythrocyte	CDKN3
5.3278146819176e-108	-0.929400485592546	0.175	0.363	4.50720874240385e-106	Erythrocyte	IFITM2
1.92915995932393e-107	0.527723572395403	0.537	0.35	1.5953502584971e-105	Erythrocyte	RPS3
8.87185344997029e-107	0.52915438486751	0.523	0.327	7.25520459908681e-105	Erythrocyte	RPL35
2.72764296501266e-104	0.554375065436206	0.109	0.025	2.18211437201013e-102	Erythrocyte	CCT6A
6.81426413997074e-103	0.583794190546625	0.137	0.039	5.39279398604136e-101	Erythrocyte	VDAC3
2.05094729075181e-101	-1.00567226266006	0.134	0.305	1.57858407547582e-99	Erythrocyte	GCA
2.05902270714238e-101	-0.839708520215057	0.182	0.365	1.57858407547582e-99	Erythrocyte	TYROBP
1.23907238058105e-100	0.520692692355669	0.478	0.292	9.40162136193457e-99	Erythrocyte	RPS18
3.35259302570653e-100	-0.519127850487055	0.544	0.677	2.51786578257144e-98	Erythrocyte	S100A6
2.34873808727467e-99	0.56793115694526	0.113	0.028	1.74613255781228e-97	Erythrocyte	PA2G4
3.87057811616187e-99	0.582309074717135	0.379	0.201	2.84874549349513e-97	Erythrocyte	HMGB2
1.95384020850321e-98	-0.875932081080371	0.197	0.364	1.4098297975082e-96	Erythrocyte	ARPC2
5.16627429002262e-98	0.54115648757645	0.263	0.115	3.69162900723946e-96	Erythrocyte	RPSA
7.34699301507212e-98	0.501966310203525	0.114	0.029	5.19941044143565e-96	Erythrocyte	TXNL1
8.93399135301612e-98	-0.839491578969394	0.168	0.345	6.26230251030463e-96	Erythrocyte	FCER1G
1.0959766242708e-96	0.619663611471013	0.278	0.128	7.60979995720103e-95	Erythrocyte	SLIRP
6.47830429328597e-96	-0.739631822202207	0.298	0.46	4.45610463538175e-94	Erythrocyte	HLA-B
5.98201755516473e-94	0.450921808268686	0.628	0.473	4.00251356418295e-92	Erythrocyte	RPS6
6.53391874687433e-94	0.646159385840875	0.128	0.037	4.33240017810767e-92	Erythrocyte	SMC4
4.77715440154961e-93	0.602104388338125	0.105	0.026	3.11149171640753e-91	Erythrocyte	IDH2
2.33090076755512e-89	0.495171295280416	0.111	0.03	1.45384997027166e-87	Erythrocyte	HSPD1
1.62887032725946e-88	0.555277298723738	0.117	0.033	1.00743576543106e-86	Erythrocyte	CKS1B
7.01429575893065e-88	0.67495178839632	0.102	0.026	4.3021013988108e-86	Erythrocyte	RRM2
1.45295549976885e-87	0.539294743570311	0.27	0.126	8.7653708838514e-86	Erythrocyte	EEF1B2
8.26791487957477e-87	0.530771826295023	0.117	0.033	4.90740754142503e-85	Erythrocyte	CENPW
4.05738429554392e-86	0.530538472162217	0.157	0.055	2.38898787321626e-84	Erythrocyte	PCNA
5.76800998744723e-85	-0.706064147499109	0.344	0.48	3.36925027838188e-83	Erythrocyte	TMSB10
3.61366207947257e-84	0.508384005145717	0.32	0.163	2.06174828720295e-82	Erythrocyte	RPL24
7.72367247968054e-84	0.519309449553764	0.437	0.264	4.37278688080375e-82	Erythrocyte	RPL8
1.07641037760173e-82	0.484323062938368	0.211	0.089	5.95667697680353e-81	Erythrocyte	SNRPD1
5.76922522298564e-82	0.470670412475764	0.331	0.172	3.14529612156847e-80	Erythrocyte	RPL4
9.77249588354855e-82	0.592550707105672	0.103	0.028	5.28864483109686e-80	Erythrocyte	TFDP1
2.55856704476894e-81	0.448222210225514	0.31	0.156	1.36456909054344e-79	Erythrocyte	RPL14
4.42969204706624e-81	0.56168931302146	0.203	0.086	2.34550600477752e-79	Erythrocyte	NPM1
9.3396712622247e-81	0.600121129803529	0.131	0.043	4.9099986064267e-79	Erythrocyte	GUK1
2.02804886369053e-80	0.493861544132296	0.113	0.033	1.05115772089875e-78	Erythrocyte	TIMM13
2.34793076736142e-80	0.482266416500022	0.154	0.055	1.20844548585874e-78	Erythrocyte	EIF5B
1.23933941935148e-79	0.499306690607399	0.363	0.2	6.29071594925992e-78	Erythrocyte	RPL36A
1.89926856895271e-78	0.526414775245755	0.122	0.038	9.57439497773421e-77	Erythrocyte	ACP1
4.65258827527088e-78	0.532417629558986	0.108	0.032	2.32945916367304e-76	Erythrocyte	UBE2C
6.69889953318277e-78	0.446248705687349	0.118	0.036	3.30898661504867e-76	Erythrocyte	POLR2I
8.88389242845074e-75	0.438667162914291	0.101	0.029	4.24580832944139e-73	Erythrocyte	EXOSC8
4.94356895149369e-74	0.495896887932553	0.312	0.166	2.34739790212861e-72	Erythrocyte	RPS2
7.73456325286502e-74	0.455143651674796	0.12	0.039	3.64912727827478e-72	Erythrocyte	NDUFS8
9.03585485810558e-74	0.43011453587921	0.447	0.279	4.20910707314285e-72	Erythrocyte	RPL3
1.2818134055249e-73	0.401644161164602	0.183	0.075	5.93342557525992e-72	Erythrocyte	TRMT112
1.94744169526797e-73	0.496572763172336	0.21	0.093	8.95823179823264e-72	Erythrocyte	CAT
2.72460849889962e-73	-0.748562324394995	0.177	0.323	1.24553531378268e-71	Erythrocyte	LST1
3.47188051723195e-73	0.545552768802336	0.108	0.033	1.57734818560661e-71	Erythrocyte	TUBB4B
4.33435627158075e-73	-0.380901108584892	0.785	0.823	1.95710810790395e-71	Erythrocyte	FTL
1.28452364926534e-72	0.437883490030023	0.425	0.26	5.72975397490478e-71	Erythrocyte	RPS16
3.28374021232121e-72	-0.604721791161425	0.37	0.483	1.45592337124603e-70	Erythrocyte	PFN1
8.24433825565489e-72	0.448070758102767	0.103	0.031	3.63343290788144e-70	Erythrocyte	CACYBP
2.51597685692572e-71	0.419547014303899	0.185	0.077	1.10223748017698e-69	Erythrocyte	DUT
6.84375544030336e-71	0.360245573480812	0.111	0.035	2.94561637664519e-69	Erythrocyte	BLVRA
1.14608010615873e-70	0.473898394458099	0.199	0.087	4.90415673333037e-69	Erythrocyte	SNRPE
1.63898737067774e-70	-0.740786589969012	0.214	0.353	6.97280176195849e-69	Erythrocyte	SH3BGRL3
2.18636220909974e-70	0.44461726971584	0.102	0.03	9.1952147765566e-69	Erythrocyte	HSPB1
1.16807022053113e-69	0.399108511226257	0.401	0.235	4.85706035203904e-68	Erythrocyte	RPL18A
3.28921142725226e-69	0.475983021651529	0.382	0.229	1.36003348902116e-67	Erythrocyte	RPL37A
